RegionType,RegionName,StateName,MSAName,AllHomes_Tier1,AllHomes_Tier2,AllHomes_Tier3,AllHomes_AllTiers,UWHomes_Tier1,UWHomes_Tier2,UWHomes_Tier3,UWHomes_AllTiers,UWHomes_TotalValue_Tier1,UWHomes_TotalValue_Tier2,UWHomes_TotalValue_Tier3,UWHomes_TotalValue_AllTiers,UWHomes_MedianValue_AllTiers,AllHomes_Tier1_ShareUW,AllHomes_Tier2_ShareUW,AllHomes_Tier3_ShareUW,AllHomes_AllTiers_ShareUW,UWHomes_ShareInTier1,UWHomes_ShareInTier2,UWHomes_ShareInTier3
State,New York,New York,NA,1379090,1378613,1379063,4136766,27930,23837,36380,88147,12122607262,15090539538,42724503890,69937650690,550632,0.02025248533453219,0.017290566678248357,0.026380230634858597,0.021308190987839294,0.3168570683063519,0.27042327021906587,0.4127196614745822
State,Oregon,Oregon,NA,387584,396357,425236,1209177,2127,1045,772,3944,370428423,255049746,299705574,925183743,212916,0.005487842635402906,0.0026365120333436774,0.0018154624726034485,0.003261722642756189,0.5393002028397565,0.26495943204868155,0.19574036511156187
State,Pennsylvania,Pennsylvania,NA,1362298,1372808,1361090,4096196,338,811,1489,2638,40191013,125154853,589628797,754974663,196745.5,2.4811017853656103e-4,5.907599606062902e-4,0.001093976151466839,6.440121517622692e-4,0.1281273692191054,0.30742987111448067,0.564442759666414
State,Rhode Island,Rhode Island,NA,104275,104686,104762,313723,956,908,2529,4393,248316569,383451073,2130859220,2762626862,473666,0.009168065212179333,0.008673557113654166,0.02414043259960673,0.014002798647214262,0.21761893922148873,0.20669246528568178,0.5756885954928295
State,South Carolina,South Carolina,NA,598931,571984,538676,1709591,18135,19639,34736,72510,4385718186,8362718074,31309892968,44058329228,426691,0.030278946990554837,0.03433487650004196,0.06448403121728088,0.04241365332409915,0.2501034340091022,0.2708454006343953,0.47905116535650255
State,Texas,Texas,NA,2441330,2510534,2337787,7289651,12771,13126,16979,42876,1580907542,2595481975,7167311675,11343701192,205095.5,0.005231164979744647,0.0052283697412582346,0.0072628515771539495,0.005881763063828433,0.2978589420654912,0.3061386323351059,0.3960024255994029
State,Virginia,Virginia,NA,811870,827585,823238,2462693,11027,12580,21009,44616,1755121920,2967491036,9337627307,14060240263,257806.5,0.013582223755034673,0.015200855501247605,0.02551995899120303,0.018116752676846037,0.24715348753810293,0.28196162811547426,0.4708848843464228
State,Washington,Washington,NA,731158,756879,780705,2268742,8945,5833,12524,27302,1363536116,1496416676,10500835756,13360788548,325471,0.012234017818310133,0.007706647958260171,0.016041910836999893,0.01203398182781471,0.32763167533514026,0.21364735184235586,0.45872097282250385
County,Bay,Florida,NA,29094,29584,26728,85406,1145,1864,2795,5804,122900223,364963507,1115379178,1603242908,228448,0.03935519351068949,0.06300703082747432,0.10457198443579767,0.06795775472449242,0.1972777394900069,0.321157822191592,0.4815644383184011
County,Lee,Florida,NA,106331,106576,106924,319831,17339,14787,21199,53325,3510683061,5538566638,16304273276,25353522975,327242,0.1630662741815651,0.13874605915027774,0.19826231715985185,0.16672867858337684,0.3251570557899672,0.27729957805907174,0.3975433661509611
County,Clay,Florida,NA,23082,24291,22041,69414,252,581,1150,1983,35420092,123459428,608571765,767451285,293353,0.010917598128411749,0.023918323658968343,0.05217549113016651,0.02856772409024116,0.12708018154311648,0.2929904185577408,0.5799293998991427
County,Coos,Oregon,NA,6590,6598,6609,19797,180,127,167,474,23494389,23937672,49465458,96897519,181966.5,0.027314112291350532,0.01924825704759018,0.0252685731578151,0.023943021669949993,0.379746835443038,0.2679324894514768,0.35232067510548526
County,Dare,North Carolina,NA,3109,3100,3354,9563,1389,1483,1785,4657,292308337,427267669,888618370,1608194376,289966,0.446767449340624,0.47838709677419355,0.5322003577817531,0.4869810728850779,0.298260682843032,0.3184453510843891,0.38329396607257893
County,Gulf,Florida,NA,2824,2820,2884,8528,246,286,528,1060,31182010,65160478,291212569,387555057,300352.5,0.08711048158640226,0.10141843971631205,0.18307905686546463,0.12429643527204502,0.2320754716981132,0.269811320754717,0.4981132075471698
County,Hyde,North Carolina,NA,224,246,267,737,203,232,235,670,17150124,25510536,46206771,88867431,111958,0.90625,0.943089430894309,0.8801498127340824,0.9090909090909091,0.3029850746268657,0.34626865671641793,0.35074626865671643
County,Kent,Delaware,NA,27102,33612,25169,85883,801,451,353,1605,87967191,73929649,126144656,288041496,131933,0.029555014390081912,0.013417826966559562,0.014025189717509635,0.018688215362760965,0.49906542056074765,0.2809968847352025,0.21993769470404984
County,Kent,Maryland,NA,4089,3517,3771,11377,188,327,457,972,28339349,66228079,240580534,335147962,226567,0.04597701149425287,0.09297696900767699,0.12118801378944577,0.08543552781928453,0.1934156378600823,0.33641975308641975,0.47016460905349794
County,Kent,Rhode Island,NA,19472,19498,18461,57431,111,61,344,516,21594170,16195502,129819221,167608893,278937.5,0.005700493015612161,0.00312852600266694,0.01863387682140729,0.00898469467709077,0.21511627906976744,0.1182170542635659,0.6666666666666666
County,King,Washington,NA,199867,199392,204970,604229,697,273,1603,2573,264059486,166935569,2812083508,3243078563,877144,0.0034873190671796746,0.0013691622532498796,0.00782065668146558,0.004258319279610876,0.2708900116595414,0.10610182666148466,0.623008161678974
