School Name,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,TestsTakers,TestsTaken,OneTest,TwoTests,ThreeTests,FourTests,FiveorMoreTests,Unnamed:9,Score=1,Score=2,Score=3,Score=4,Score=5,PercentScore12,PercentScore35,NumEnrolledGrades09through12,NumDropoutAllGrades,PercentDropoutAllGrades,PercentDropoutGrade09,PercentDropoutGrade10,PercentDropoutGrade11,PercentDropoutGrade12,NuminCohort,PercentGraduated,PercentStillinSchool,PercentNonGradCompleters,PercentHSEquiv,PercentDroppedOut,PercentPermanentlyExcluded,HighSchoolGraduatesNum,AttendingCollUnivNum,AttendingCollUnivPercent,PrivateTwoYearPercent,PrivateFourYearPercent,PublicTwoYearPercent,PublicFourYearPercent,MACommunityCollegePercent,MAStateUniversityPercent,UnivofMassPercent,Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,WFNum,WFPercent,StudentIncluded,CPI,SGP,IncludedInSGP,ReadingWriting,Writing,Math,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Town,School
Berkley - Berkley Middle School,270305.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,91.0,97.0,109.0,0.0,0.0,0.0,0.0,0.0,391.0, 00270305,0.5,0.5,2.0,94.1,0.0,0.0,2.8,50.1,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,86.0,47.0,10.0,5.0,76.0,41.0,81.0,44.0,17.0,9.0,184.0,77.9,,,,,,270305.0,1.0,0.3,1.0,0.3,64.0,16.4,104.0,26.6,56.0,14.3,     399,4.0,,,,,,Berkley,Berkley Middle School
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,4140305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,73.0,70.0,48.0,34.0,38.0,31.0,0.0,354.0, 04140305,12.4,3.4,8.8,70.6,0.3,0.3,4.2,50.0,50.0,      35,      41,29.0,6.0,0.0,0.0,0.0,,7.0,12.0,16.0,5.0,1.0,46.3,53.7,     147,1.0,0.7,0.0,1.9,0.0,0.0,        16,87.5,6.3,0.0,0.0,6.3,0.0,,,,,,,,,,,SCIENCE AND TECH/ENG,51.0,49.0,19.0,18.0,32.0,30.0,40.0,38.0,14.0,13.0,105.0,75.0,,,573.0,,561.0,4140305.0,7.0,2.0,4.0,1.1,77.0,21.8,192.0,54.2,150.0,42.4,     360,45.0,4.7,9.2,0.0,0.0,0.0,Berkshire Arts and Technology Charter Public (District),Berkshire Arts and Technology Charter Public School
Berkshire Arts and Technology Charter Public - Berkshire Arts and Technology Charter Public School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,14.0,73.7,0.0,7.1,64.3,28.6,64.3,14.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berkshire Arts and Technology Charter Public,Berkshire Arts and Technology Charter Public School
Berkshire Hills - Monument Mt Regional High,6180505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,118.0,145.0,126.0,6.0,523.0, 06180505,2.1,1.9,6.5,85.3,0.0,0.4,3.8,53.2,46.8,      84,     157,28.0,42.0,11.0,3.0,0.0,,11.0,29.0,46.0,45.0,26.0,25.5,74.5,     536,4.0,0.7,0.0,1.4,0.0,1.4,       146,95.2,2.1,0.7,0.0,2.1,0.0,127.0,104.0,81.9,0.0,49.0,22.1,28.8,20.2,10.6,7.7,SCIENCE AND TECH/ENG,105.0,85.0,56.0,46.0,49.0,40.0,16.0,13.0,2.0,2.0,123.0,94.5,,,587.0,,546.0,6180505.0,27.0,5.2,5.0,1.0,72.0,13.8,163.0,31.2,124.0,23.7,     558,5.0,,,,,,Berkshire Hills,Monument Mt Regional High
Berkshire Hills - Monument Valley Regional Middle School,6180310.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,75.0,101.0,120.0,0.0,0.0,0.0,0.0,0.0,374.0, 06180310,1.9,3.7,7.8,82.1,0.3,0.0,4.3,49.5,50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,44.0,28.0,4.0,3.0,40.0,26.0,70.0,45.0,42.0,27.0,156.0,63.5,,,,,,6180310.0,27.0,7.2,9.0,2.4,61.0,16.3,144.0,38.5,109.0,29.1,     398,8.0,0.8,1.5,0.0,0.0,0.3,Berkshire Hills,Monument Valley Regional Middle School
Berkshire Hills - Muddy Brook Regional Elementary School,6180035.0,14.0,84.0,48.0,73.0,61.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0, 06180035,0.9,2.6,11.2,76.7,0.0,0.0,8.6,52.9,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6180035.0,31.0,8.9,19.0,5.5,75.0,21.6,173.0,49.7,125.0,35.9,     363,2.0,,,,,,Berkshire Hills,Muddy Brook Regional Elementary School
Berlin - Berlin Memorial,280005.0,15.0,27.0,28.0,31.0,21.0,29.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0, 00280005,0.0,1.6,4.9,90.7,0.0,0.0,2.7,56.3,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,53.0,5.0,14.0,14.0,39.0,14.0,39.0,3.0,8.0,36.0,82.6,,,,,,280005.0,15.0,8.2,8.0,4.4,28.0,15.3,53.0,29.0,32.0,17.5,     198,0.0,,,,,,Berlin,Berlin Memorial
Berlin-Boylston - Tahanto Regional High,6200505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,91.0,90.0,84.0,73.0,83.0,78.0,0.0,594.0, 06200505,1.9,3.0,3.5,89.1,0.0,0.0,2.5,54.2,45.8,      66,     129,22.0,27.0,16.0,0.0,1.0,,8.0,25.0,38.0,36.0,22.0,25.6,74.4,     316,1.0,0.3,0.0,0.0,0.0,1.1,        86,97.7,1.2,0.0,0.0,1.2,0.0,58.0,48.0,82.8,0.0,31.3,6.3,62.5,6.3,25.0,8.3,SCIENCE AND TECH/ENG,134.0,84.0,41.0,26.0,93.0,58.0,22.0,14.0,4.0,3.0,160.0,93.4,,,592.0,,585.0,6200505.0,39.0,6.6,11.0,1.9,96.0,16.2,162.0,27.3,68.0,11.4,     595,10.0,0.2,1.7,0.0,0.2,0.0,Berlin-Boylston,Tahanto Regional High
Beverly - Ayers/Ryal Side School,300055.0,0.0,85.0,69.0,92.0,88.0,91.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0, 00300055,3.0,4.2,13.0,76.6,0.0,0.0,3.2,53.5,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCIENCE AND TECH/ENG,44.0,59.0,12.0,16.0,32.0,43.0,25.0,33.0,6.0,8.0,75.0,80.3,,,,,,300055.0,77.0,15.4,51.0,10.2,70.0,14.0,211.0,42.1,139.0,27.7,     541,8.0,0.7,0.9,0.0,0.0,0.0,Beverly,Ayers/Ryal Side School
Beverly - Beverly High,300505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,312.0,272.0,339.0,2.0,1244.0, 00300505,3.2,2.9,12.1,78.6,0.0,0.2,3.0,49.4,50.5,     273,     471,149.0,75.0,32.0,10.0,7.0,,28.0,116.0,155.0,111.0,61.0,30.6,69.4,"   1,276",12.0,0.9,1.0,1.3,0.6,0.9,       331,90.6,4.8,0.9,0.3,3.3,0.0,316.0,242.0,76.6,0.4,28.9,25.2,45.5,24.0,16.1,12.4,SCIENCE AND TECH/ENG,212.0,82.0,114.0,44.0,98.0,38.0,42.0,16.0,4.0,2.0,258.0,93.1,,,569.0,,552.0,300505.0,94.0,7.6,37.0,3.0,202.0,16.2,420.0,33.8,280.0,22.5,"   1,318",101.0,4.6,4.9,0.0,0.0,0.0,Beverly,Beverly High
