,SchoolCode,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,ORGCODE,AfricanAmerican,Asian,Hispanic,White,NativeAmerican,"NativeHawaiian,PacificIslander","MultiRace,NonHispanic",Males,Females,HighSchoolGraduates(Num),AttendingColl./Univ.(Num),AttendingColl./Univ.(Percent),PrivateTwoYear(Percent),PrivateFourYear(Percent),PublicTwoYear(Percent),PublicFourYear(Percent),MACommunityCollege(Percent),MAStateUniversity(Percent),Univ.ofMass.(Percent),Subject,P+ANum,P+APercent,ANum,APercent,PNum,PPercent,NINum,NIPercent,W/FNum,W/FPercent,StudentIncluded,CPI,SGP,IncludedInSGP,TestsTaken,Reading/Writing,Writing,Math,Students,StudentsDisciplined,PercentInSchoolSuspension,PercentOutofSchoolSuspension,PercentExpulsion,PercentRemovedtoAlternateSetting,PercentEmergencyRemoval,Unnamed:9,ORGCODEUnnamed:1_level_1,FirstLanguageNotEnglishNum,FirstLanguageNotEnglishPercent,EnglishLanguageLearnerNum,EnglishLanguageLearnerPercent,StudentsWithDisabilitiesNum,StudentsWithDisabilitiesPercent,HighNeedsNum,HighNeedsPercent,EconomicallyDisadvantagedNum,EconomicallyDisadvantagedPercent,Town,School
Worcester - Tatnuck,3480230.0,28.0,62.0,55.0,47.0,48.0,64.0,47.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0, 03480230,19.4,6.6,23.0,45.7,0.0,0.5,4.8,47.4,52.6,,,,,,,,,,,SCIENCE AND TECH/ENG,31.0,70.0,18.0,41.0,13.0,30.0,10.0,23.0,3.0,7.0,44.0,86.9,,,,,,,     430,15.0,0.0,0.7,0.0,0.0,3.0,,3480230.0,197.0,50.3,116.0,29.6,57.0,14.5,296.0,75.5,206.0,52.6,Worcester,Tatnuck
Worcester - City View,3480053.0,28.0,77.0,59.0,67.0,76.0,53.0,52.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0, 03480053,15.2,3.8,51.5,24.9,0.0,0.0,4.6,52.1,47.9,,,,,,,,,,,SCIENCE AND TECH/ENG,14.0,19.0,1.0,1.0,13.0,18.0,33.0,46.0,25.0,35.0,72.0,52.4,,,,,,,     603,39.0,1.2,5.8,0.0,0.0,1.7,,3480053.0,275.0,58.0,201.0,42.4,97.0,20.5,435.0,91.8,361.0,76.2,Worcester,City View
Worcester - Quinsigamond,3480210.0,28.0,102.0,105.0,91.0,102.0,121.0,107.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0, 03480210,20.8,7.7,39.3,27.8,0.1,0.0,4.3,50.1,49.9,,,,,,,,,,,SCIENCE AND TECH/ENG,13.0,16.0,2.0,2.0,11.0,13.0,39.0,47.0,31.0,37.0,83.0,53.9,,,,,,,     909,49.0,1.2,1.7,0.0,0.0,5.2,,3480210.0,466.0,62.6,359.0,48.2,118.0,15.8,662.0,88.9,517.0,69.4,Worcester,Quinsigamond
Worcester - Clark St Community,3480055.0,34.0,40.0,46.0,30.0,25.0,27.0,24.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0, 03480055,21.2,3.8,52.7,17.7,0.4,0.0,4.2,51.5,48.5,,,,,,,,,,,SCIENCE AND TECH/ENG,5.0,19.0,0.0,0.0,5.0,19.0,13.0,48.0,9.0,33.0,27.0,59.3,,,,,,,     234,34.0,2.1,4.7,0.0,0.0,13.2,,3480055.0,189.0,72.7,150.0,57.7,47.0,18.1,248.0,95.4,207.0,79.6,Worcester,Clark St Community
Worcester - Jacob Hiatt Magnet,3480140.0,43.0,63.0,56.0,55.0,57.0,48.0,45.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0, 03480140,28.8,3.0,51.4,12.4,0.0,0.0,4.5,50.1,49.9,,,,,,,,,,,SCIENCE AND TECH/ENG,18.0,34.0,5.0,9.0,13.0,25.0,31.0,58.0,4.0,8.0,53.0,72.6,,,,,,,     483,20.0,1.4,2.3,0.0,0.0,2.1,,3480140.0,248.0,61.5,147.0,36.5,42.0,10.4,319.0,79.2,209.0,51.9,Worcester,Jacob Hiatt Magnet
Worcester - West Tatnuck,3480260.0,44.0,59.0,43.0,42.0,48.0,45.0,50.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0, 03480260,8.4,5.7,15.7,63.0,0.0,0.0,7.3,49.5,50.5,,,,,,,,,,,SCIENCE AND TECH/ENG,24.0,62.0,9.0,23.0,15.0,38.0,9.0,23.0,6.0,15.0,39.0,85.3,,,,,,,     358,1.0,,,,,,,3480260.0,149.0,40.3,90.0,24.3,60.0,16.2,227.0,61.4,115.0,31.1,Worcester,West Tatnuck
Worcester - Nelson Place,3480200.0,47.0,68.0,70.0,51.0,80.0,65.0,64.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0, 03480200,10.3,7.1,17.2,60.2,0.0,0.0,5.2,56.9,43.1,,,,,,,,,,,SCIENCE AND TECH/ENG,39.0,49.0,15.0,19.0,24.0,30.0,33.0,41.0,8.0,10.0,80.0,84.7,,,,,,,     487,6.0,0.2,0.4,0.0,0.0,1.0,,3480200.0,147.0,28.2,95.0,18.2,135.0,25.9,281.0,53.8,155.0,29.7,Worcester,Nelson Place
Worcester - Belmont Street Community,3480020.0,49.0,84.0,75.0,76.0,73.0,83.0,83.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0, 03480020,21.3,7.2,49.2,18.2,0.2,0.0,3.8,52.8,47.2,,,,,,,,,,,SCIENCE AND TECH/ENG,10.0,18.0,2.0,4.0,8.0,15.0,32.0,58.0,13.0,24.0,55.0,61.4,,,,,,,     682,41.0,0.0,0.4,0.0,0.0,5.7,,3480020.0,376.0,64.7,303.0,52.2,97.0,16.7,548.0,94.3,465.0,80.0,Worcester,Belmont Street Community
Worcester - Vernon Hill School,3480280.0,55.0,71.0,66.0,48.0,67.0,80.0,87.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0, 03480280,21.3,3.4,46.6,22.9,0.0,0.0,5.8,52.2,47.8,,,,,,,,,,,SCIENCE AND TECH/ENG,4.0,7.0,1.0,2.0,3.0,5.0,25.0,43.0,29.0,50.0,58.0,45.7,,,,,,,     668,23.0,0.0,1.6,0.0,0.0,2.1,,3480280.0,280.0,52.2,205.0,38.2,123.0,22.9,486.0,90.7,390.0,72.8,Worcester,Vernon Hill School
Worcester - Norrback Avenue,3480202.0,57.0,72.0,69.0,75.0,80.0,78.0,59.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0, 03480202,24.6,3.4,28.0,39.4,0.0,0.0,4.6,53.2,46.8,,,,,,,,,,,SCIENCE AND TECH/ENG,27.0,39.0,11.0,16.0,16.0,23.0,33.0,47.0,10.0,14.0,70.0,76.1,,,,,,,     622,15.0,1.8,1.4,0.0,0.0,0.2,,3480202.0,256.0,45.4,187.0,33.2,148.0,26.2,412.0,73.0,252.0,44.7,Worcester,Norrback Avenue
Worcester - Columbus Park,3480060.0,61.0,72.0,64.0,61.0,67.0,58.0,69.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0, 03480060,13.6,9.3,49.1,23.9,0.6,0.0,3.6,54.8,45.2,,,,,,,,,,,SCIENCE AND TECH/ENG,24.0,45.0,10.0,19.0,14.0,26.0,18.0,34.0,11.0,21.0,53.0,71.2,,,,,,,     589,25.0,0.0,1.9,0.0,0.0,3.1,,3480060.0,326.0,64.3,267.0,52.7,100.0,19.7,468.0,92.3,379.0,74.8,Worcester,Columbus Park
Worcester - Roosevelt,3480220.0,67.0,98.0,96.0,85.0,95.0,89.0,73.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0, 03480220,15.9,4.9,28.1,46.4,0.0,0.1,4.6,48.7,51.3,,,,,,,,,,,SCIENCE AND TECH/ENG,34.0,40.0,7.0,8.0,27.0,32.0,39.0,46.0,11.0,13.0,84.0,78.6,,,,,,,     703,12.0,0.3,1.6,0.0,0.0,0.4,,3480220.0,304.0,45.2,184.0,27.3,121.0,18.0,456.0,67.8,279.0,41.5,Worcester,Roosevelt
Worcester - Gates Lane,3480110.0,68.0,78.0,72.0,66.0,67.0,77.0,50.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0, 03480110,17.2,12.3,37.6,27.4,0.4,0.0,5.1,59.2,40.8,,,,,,,,,,,SCIENCE AND TECH/ENG,19.0,22.0,5.0,6.0,14.0,16.0,31.0,36.0,36.0,42.0,86.0,70.6,,,,,,,     667,13.0,0.0,1.8,0.0,0.0,0.1,,3480110.0,278.0,48.9,205.0,36.0,198.0,34.8,497.0,87.3,350.0,61.5,Worcester,Gates Lane
Worcester - Head Start,3480002.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0, 03480002,20.2,2.3,54.8,19.7,0.0,0.0,3.0,48.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     685,0.0,,,,,,,3480002.0,452.0,85.4,448.0,84.7,27.0,5.1,523.0,98.9,461.0,87.1,Worcester,Head Start
